titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/bh10ea06j0/au/pine/,2025-08-23 05:27:23,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/gf90hj8h07/au/pine/,2025-08-23 05:27:35,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/ec4hjf3a90/au/pine/,2025-08-23 05:27:45,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/eh1h3aj6k6/au/pine/,2025-08-23 05:27:56,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/fjhj8fak6a/au/pine/,2025-08-23 05:28:06,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri 205/70 R15 Brutus T/A 102/99Q Tl 8Pr,738.3,https://www.magazineluiza.com.br/pneu-xbri-205-70-r15-brutus-t-a-102-99q-tl-8pr-xbri-tires/p/dcd8215255/au/pine/,2025-08-23 05:28:18,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 205/70 R15 96T G Fit As Lh41,572.02,https://www.magazineluiza.com.br/pneu-laufenn-205-70-r15-96t-g-fit-as-lh41/p/bkhg913kk3/au/aupa/,2025-08-23 05:28:28,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook Aro 15 205/70 R15 96T Kinergy St H735,717.96,https://www.magazineluiza.com.br/pneu-hankook-aro-15-205-70-r15-96t-kinergy-st-h735/p/bd7fdheedb/au/pine/,2025-08-23 05:28:39,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri Lt 205/70 R15 8pr 102/99Q Tl Brutus T/A,610.44,https://www.magazineluiza.com.br/pneu-aro-15-xbri-lt-205-70-r15-8pr-102-99q-tl-brutus-t-a/p/gc962ff6aa/au/aupa/,2025-08-23 05:28:50,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 15 205/70 R15 96H RU006,443.69,https://www.magazineluiza.com.br/pneu-aptany-aro-15-205-70-r15-96h-ru006/p/cdddhbbc7a/au/aupa/,2025-08-23 05:29:25,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 15 205/70 R15 96H Ecology,490.03,https://www.magazineluiza.com.br/pneu-xbri-aro-15-205-70-r15-96h-ecology/p/fe8aa93c9a/au/aupa/,2025-08-23 05:29:37,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Roadcruza 205/70 R15 96T RA1100,582.9,https://www.magazineluiza.com.br/pneu-aro-15-roadcruza-205-70-r15-96t-ra1100/p/ef3762436a/au/aupa/,2025-08-23 05:29:48,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Durable Aro 15 205/70 R15 96T Rebok A/T,460.74,https://www.magazineluiza.com.br/pneu-durable-aro-15-205-70-r15-96t-rebok-a-t/p/bkebj4g6jf/au/pine/,2025-08-23 05:29:59,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 15"" 205/70 R15 96T ROADCRUZA RA1100 AT",873.0,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-96t-roadcruza-ra1100-at-road-cruza/p/ggfak9cagj/au/aupa/,2025-08-23 05:30:10,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 205/70 R15 96H Fastway E1,454.78,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-fastway-e1/p/kk01debd1k/au/aupa/,2025-08-23 05:30:21,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Xbri 205/70 R15 96H Ecology,501.41,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-ecology/p/fh40b42ej8/au/aupa/,2025-08-23 05:30:34,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 XBRI 205/70 R15 96H Forza A/T E1,538.63,https://www.magazineluiza.com.br/pneu-aro-15-xbri-205-70-r15-96h-forza-a-t-e1/p/bj05a8aj48/au/aupa/,2025-08-23 05:30:45,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 205/70 r15 continental conticrosscontact at 96t,929.7,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-continental-conticrosscontact-at-96t/p/feceh1jf6h/au/aupa/,2025-08-23 05:30:55,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Chengshan 205/70 R15 96H CSC-302 AT,490.61,https://www.magazineluiza.com.br/pneu-aro-15-chengshan-205-70-r15-96h-csc-302-at/p/ae7179c0dh/au/aupa/,2025-08-23 05:31:06,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Bridgestone 205/70 R15 96T Dueler A/T 693,737.46,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-205-70-r15-96t-dueler-a-t-693/p/kc9fg2cb53/au/aupa/,2025-08-23 05:31:17,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Wanli 205/70 R15 96H Su006 A/T,579.99,https://www.magazineluiza.com.br/pneu-wanli-205-70-r15-96h-su006-a-t/p/he08735f06/es/pmnm/,2025-08-23 05:31:30,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 205/70 r15 continental barum bravuris 4x4 96t,708.58,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-continental-barum-bravuris-4x4-96t/p/jk0ac92j3c/au/aupa/,2025-08-23 05:31:41,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 15 205/70 R15 96H RP203,552.66,https://www.magazineluiza.com.br/pneu-aptany-aro-15-205-70-r15-96h-rp203/p/ce2h4gb9bj/au/aupa/,2025-08-23 05:31:52,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 205/70 r15 xbri brutus t/a at 8pr 102/99q letra branca,894.63,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-xbri-brutus-t-a-at-8pr-102-99q-letra-branca/p/fkd1gak028/au/aupa/,2025-08-23 05:32:03,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 15 205/70 R15 96H DX-10 A/T BANDT,702.32,https://www.magazineluiza.com.br/pneu-delinte-aro-15-205-70-r15-96h-dx-10-a-t-bandt/p/jkcaf54492/au/aupa/,2025-08-23 05:32:14,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Goodyear 205/70 R15 96T SL Wrangler Fortitude HT,768.75,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-205-70-r15-96t-sl-wrangler-fortitude-ht/p/bjf948440e/au/aupa/,2025-08-23 05:32:26,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 205/70 R15 96T FR Crosscontact At,868.04,https://www.magazineluiza.com.br/pneu-continental-205-70-r15-96t-fr-crosscontact-at/p/kh0c4ga8jj/au/pine/,2025-08-23 05:32:38,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 205/70 r15 chengshan csc302 at 96h,708.58,https://www.magazineluiza.com.br/pneu-aro-15-205-70-r15-chengshan-csc302-at-96h/p/kbjck96cdg/au/aupa/,2025-08-23 05:32:49,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/bh10ea06j0/au/pine/,2025-08-23 05:33:00,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/gf90hj8h07/au/pine/,2025-08-23 05:33:13,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Falken 205/70 R15 8PR 106R R51,912.45,https://www.magazineluiza.com.br/pneu-falken-205-70-r15-8pr-106r-r51/p/ec4hjf3a90/au/pine/,2025-08-23 05:33:24,205/70R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
