titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 17 215/45 r17 kpatos fm601 91w,574.02,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-kpatos-fm601-91w-kingboss/p/eg67c6358j/au/aupa/,2025-08-23 16:16:06,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 215/45 R17 91W S Fit As Lh01,573.6,https://www.magazineluiza.com.br/pneu-laufenn-215-45-r17-91w-s-fit-as-lh01/p/fc9f51he3a/au/aupa/,2025-08-23 16:16:17,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 215/45 R17 91W X/L RA301,530.23,https://www.magazineluiza.com.br/pneu-aptany-aro-17-215-45-r17-91w-x-l-ra301/p/ab8585c598/au/aupa/,2025-08-23 16:16:27,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 215/45 R17 DS7 Sport 91Y XL,782.56,https://www.magazineluiza.com.br/pneu-delinte-aro-17-215-45-r17-ds7-sport-91y-xl/p/kdc12kf91k/au/pine/,2025-08-23 16:16:39,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/45 r17 continental extremecontact dw xl 91w,750.1,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-continental-extremecontact-dw-xl-91w/p/haccbb6e75/au/pine/,2025-08-23 16:17:26,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle Aro 17 215/45 R17 91Y TH201,436.37,https://www.magazineluiza.com.br/pneu-triangle-aro-17-215-45-r17-91y-th201/p/bjfa62f957/au/pnoc/,2025-08-23 16:17:37,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 215/45 R17 91W Th201,550.07,https://www.magazineluiza.com.br/pneu-triangle-215-45-r17-91w-th201/p/cka4h3h9e1/au/pine/,2025-08-23 16:17:48,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Westlake 215/45 R17 91W SA57,535.46,https://www.magazineluiza.com.br/pneu-aro-17-westlake-215-45-r17-91w-sa57/p/aej938k823/au/pine/,2025-08-23 16:18:01,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 17 215/45 R17 91W SA57,581.25,https://www.magazineluiza.com.br/pneu-westlake-aro-17-215-45-r17-91w-sa57/p/jj81ckbd9d/au/pine/,2025-08-23 16:18:13,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/45 R17 91W Fastway W2 Extra Load,528.82,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-91w-fastway-w2-extra-load/p/jg9h0jd9h5/au/pine/,2025-08-23 16:18:24,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Chengshan 215/45 R17 91Y CS-701,460.13,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-215-45-r17-91y-cs-701/p/cb6ebf95hg/au/pine/,2025-08-23 16:18:35,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/45 R17 ZR 91W XL Sport Plus F1,529.13,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-zr-91w-xl-sport-plus-f1/p/gaec3gcj39/au/aupa/,2025-08-23 16:18:46,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 215/45 R17 BL91V XL Turanza T005,708.57,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-215-45-r17-bl91v-xl-turanza-t005/p/gkg1891401/au/aupa/,2025-08-23 16:18:59,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 215/45 R17 91w Primacy 4+,861.15,https://www.magazineluiza.com.br/pneu-aro-17-michelin-215-45-r17-91w-primacy-4/p/kcb932h049/au/aupa/,2025-08-23 16:19:11,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/45 r17 kpatos fm601 91w,574.02,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-kpatos-fm601-91w-kingboss/p/eg67c6358j/au/aupa/,2025-08-23 16:19:22,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 215/45 R17 91W S Fit As Lh01,573.6,https://www.magazineluiza.com.br/pneu-laufenn-215-45-r17-91w-s-fit-as-lh01/p/fc9f51he3a/au/aupa/,2025-08-23 16:19:33,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 215/45 R17 91W X/L RA301,530.23,https://www.magazineluiza.com.br/pneu-aptany-aro-17-215-45-r17-91w-x-l-ra301/p/ab8585c598/au/aupa/,2025-08-23 16:19:44,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 215/45 R17 DS7 Sport 91Y XL,782.56,https://www.magazineluiza.com.br/pneu-delinte-aro-17-215-45-r17-ds7-sport-91y-xl/p/kdc12kf91k/au/pine/,2025-08-23 16:19:57,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/45 r17 continental extremecontact dw xl 91w,750.1,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-continental-extremecontact-dw-xl-91w/p/haccbb6e75/au/pine/,2025-08-23 16:20:43,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle Aro 17 215/45 R17 91Y TH201,436.37,https://www.magazineluiza.com.br/pneu-triangle-aro-17-215-45-r17-91y-th201/p/bjfa62f957/au/pnoc/,2025-08-23 16:20:54,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Triangle 215/45 R17 91W Th201,550.07,https://www.magazineluiza.com.br/pneu-triangle-215-45-r17-91w-th201/p/cka4h3h9e1/au/pine/,2025-08-23 16:21:05,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Westlake 215/45 R17 91W SA57,535.46,https://www.magazineluiza.com.br/pneu-aro-17-westlake-215-45-r17-91w-sa57/p/aej938k823/au/pine/,2025-08-23 16:21:18,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 17 215/45 R17 91W SA57,581.25,https://www.magazineluiza.com.br/pneu-westlake-aro-17-215-45-r17-91w-sa57/p/jj81ckbd9d/au/pine/,2025-08-23 16:21:29,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/45 R17 91W Fastway W2 Extra Load,528.82,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-91w-fastway-w2-extra-load/p/jg9h0jd9h5/au/pine/,2025-08-23 16:21:40,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Chengshan 215/45 R17 91Y CS-701,460.13,https://www.magazineluiza.com.br/pneu-aro-17-chengshan-215-45-r17-91y-cs-701/p/cb6ebf95hg/au/pine/,2025-08-23 16:21:51,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Xbri 215/45 R17 ZR 91W XL Sport Plus F1,529.13,https://www.magazineluiza.com.br/pneu-aro-17-xbri-215-45-r17-zr-91w-xl-sport-plus-f1/p/gaec3gcj39/au/aupa/,2025-08-23 16:22:02,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 215/45 R17 BL91V XL Turanza T005,708.57,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-215-45-r17-bl91v-xl-turanza-t005/p/gkg1891401/au/aupa/,2025-08-23 16:22:15,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 215/45 R17 91w Primacy 4+,861.15,https://www.magazineluiza.com.br/pneu-aro-17-michelin-215-45-r17-91w-primacy-4/p/kcb932h049/au/aupa/,2025-08-23 16:22:26,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 215/45 r17 kpatos fm601 91w,574.02,https://www.magazineluiza.com.br/pneu-aro-17-215-45-r17-kpatos-fm601-91w-kingboss/p/eg67c6358j/au/aupa/,2025-08-23 16:22:37,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 215/45 R17 91W S Fit As Lh01,573.6,https://www.magazineluiza.com.br/pneu-laufenn-215-45-r17-91w-s-fit-as-lh01/p/fc9f51he3a/au/aupa/,2025-08-23 16:22:48,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 215/45 R17 91W X/L RA301,530.23,https://www.magazineluiza.com.br/pneu-aptany-aro-17-215-45-r17-91w-x-l-ra301/p/ab8585c598/au/aupa/,2025-08-23 16:22:59,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 215/45 R17 DS7 Sport 91Y XL,782.56,https://www.magazineluiza.com.br/pneu-delinte-aro-17-215-45-r17-ds7-sport-91y-xl/p/kdc12kf91k/au/pine/,2025-08-23 16:23:11,215/45R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
