titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 17 Continental 245/65 R17 111T XL CrossContact LX,1468.23,https://www.magazineluiza.com.br/pneu-aro-17-continental-245-65-r17-111t-xl-crosscontact-lx/p/ffabkgjk7e/au/aupa/,2025-08-29 05:46:33,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 245/65 R17 107H Dynapro Hp2 Ra33 Original Kia Sorento,1180.8,https://www.magazineluiza.com.br/pneu-hankook-245-65-r17-107h-dynapro-hp2-ra33-original-kia-sorento/p/hcga8k9812/au/aupa/,2025-08-29 05:46:44,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 245/65 R17 DS2 107H,1242.21,https://www.magazineluiza.com.br/pneu-delinte-aro-17-245-65-r17-ds2-107h/p/kc163hhaa9/au/pine/,2025-08-29 05:46:54,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
245/65 r17 111t extra load tl ltx force mi,1902.9,https://www.magazineluiza.com.br/245-65-r17-111t-extra-load-tl-ltx-force-mi-michelin/p/ajf7e1cga4/au/aupa/,2025-08-29 05:47:06,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/65 r 17 ru101 107t aptany,1063.55,https://www.magazineluiza.com.br/pneu-245-65-r-17-ru101-107t-aptany/p/bb24d42bhg/es/esti/,2025-08-29 05:47:19,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/65 r 17 crosswind h/t 107t linglong,792.7,https://www.magazineluiza.com.br/pneu-245-65-r-17-crosswind-h-t-107t-linglong/p/fbdkgb1g95/au/aupa/,2025-08-29 05:48:02,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 245/65 r17 tracmax x-privilo 111h,961.47,https://www.magazineluiza.com.br/pneu-aro-17-245-65-r17-tracmax-x-privilo-111h/p/habg31e30d/au/pine/,2025-08-29 05:48:14,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu hankook 245/65 r17 111t dynapro at2 rf11,1355.69,https://www.magazineluiza.com.br/pneu-hankook-245-65-r17-111t-dynapro-at2-rf11/p/dhf50gdk60/au/aupa/,2025-08-29 05:48:25,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Continental 245/65 R17 111T XL CrossContact LX,1468.23,https://www.magazineluiza.com.br/pneu-aro-17-continental-245-65-r17-111t-xl-crosscontact-lx/p/ffabkgjk7e/au/aupa/,2025-08-29 05:48:37,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 245/65 R17 107H Dynapro Hp2 Ra33 Original Kia Sorento,1180.8,https://www.magazineluiza.com.br/pneu-hankook-245-65-r17-107h-dynapro-hp2-ra33-original-kia-sorento/p/hcga8k9812/au/aupa/,2025-08-29 05:48:47,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 245/65 R17 DS2 107H,1242.21,https://www.magazineluiza.com.br/pneu-delinte-aro-17-245-65-r17-ds2-107h/p/kc163hhaa9/au/pine/,2025-08-29 05:48:58,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
245/65 r17 111t extra load tl ltx force mi,1902.9,https://www.magazineluiza.com.br/245-65-r17-111t-extra-load-tl-ltx-force-mi-michelin/p/ajf7e1cga4/au/aupa/,2025-08-29 05:49:10,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 245/65 r 17 ru101 107t aptany,1063.55,https://www.magazineluiza.com.br/pneu-245-65-r-17-ru101-107t-aptany/p/bb24d42bhg/es/esti/,2025-08-29 05:49:22,245/65R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
