titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 17 Cinturato P7 (*) 225/50R17 94W Run Flat,1439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-pirelli-aro-17-cinturato-p7-%28-%29-225-50r17-94w-run-flat-10140107,pneustore,pirelli,cinturato p7,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,pirelli,Cinturato P7,,,,False,2025-08-25 06:15:44,{}
Pneu Kumho Aro 17 Ecsta PS71 225/50R17 94W Run Flat,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-17-ecsta-ps71-225-50r17-94w-run-flat-10031140,pneustore,kumho,17 ecsta,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,kumho,17 Ecsta,,,,False,2025-08-25 06:15:45,{}
Pneu Continental Aro 17 ContiSportContact 5 (AO) 225/50R17 98Y XL,949.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-continental-aro-17-contisportcontact-5-%28ao%29-225-50r17-98y-xl-16003050,pneustore,continental,17 contisportcontact,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,continental,17 Contisportcontact,,,,False,2025-08-25 06:15:46,{}
Pneu Bridgestone Aro 17 Turanza T005 MOE 225/50R17 94Y Run Flat,1269.9,https://www.pneustore.com.br/categorias/marcas/pneus-bridgestone/produto/pneu-bridgestone-aro-17-turanza-t005-moe-225-50r17-94y-run-flat-16000750,pneustore,bridgestone,17 turanza,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,bridgestone,17 Turanza,,,,False,2025-08-25 06:15:51,{}
Pneu Bridgestone Aro 17 Turanza T001 MOE 225/50R17 94W Run Flat,1319.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-bridgestone-aro-17-turanza-t001-moe-225-50r17-94w-run-flat-16000713,pneustore,bridgestone,17 turanza,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,bridgestone,17 Turanza,,,,False,2025-08-25 06:15:52,{}
Pneu Bridgestone Aro 17 Turanza T005 * 225/50R17 98Y Run Flat XL,1579.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-bridgestone-aro-17-turanza-t005-225-50r17-98y-run-flat-xl-16000777,pneustore,bridgestone,17 turanza,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,bridgestone,17 Turanza,,,,False,2025-08-25 06:15:53,{}
Pneu Pirelli Aro 17 Cinturato P7 (MOE) 225/50R17 94W Run Flat,1479.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-pirelli-aro-17-cinturato-p7-%28moe%29-225-50r17-94w-run-flat-10070340,pneustore,pirelli,cinturato p7,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,pirelli,Cinturato P7,,,,False,2025-08-25 06:15:57,{}
Pneu Continental Aro 17 ContiSportContact 5 MOE 225/50R17 94W Run Flat,1299.9,https://www.pneustore.com.br/categorias/pneus-de-carro/alta-performance/produto/pneu-continental-aro-17-contisportcontact-5-moe-225-50r17-94w-run-flat-10260071,pneustore,continental,17 contisportcontact,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,continental,17 Contisportcontact,,,,False,2025-08-25 06:15:58,{}
Pneu Bridgestone Aro 17 Dueler H/P Sport * 225/50R17 94H Run Flat,1199.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bridgestone-aro-17-dueler-h-p-sport-225-50r17-94h-run-flat-16000776,pneustore,bridgestone,17 dueler,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,bridgestone,17 Dueler,,,,False,2025-08-25 06:16:02,{}
Pneu Pirelli Aro 17 Cinturato P7 New Seal Inside 225/50R17 98V XL,699.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-50r17/produto/pneu-pirelli-aro-17-cinturato-p7-new-seal-inside-225-50r17-98v-xl-16002777,pneustore,pirelli,cinturato p7,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,pirelli,Cinturato P7,,,,False,2025-08-25 06:16:20,{}
Pneu General Tire by Continental Aro 17 Altimax One S 225/50R17 98W XL,519.9,https://www.pneustore.com.br/categorias/marcas/pneus-general-tire/produto/pneu-general-tire-by-continental-aro-17-altimax-one-s-225-50r17-98w-xl-16000880,pneustore,continental,17 altimax,225/50R17,225-50-r17,17,pneu 225 50 r17 Xbri Fastdrive,,continental,17 Altimax,,,,False,2025-08-25 06:16:24,{}
