titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 17 205/55 r17 dunlop sport fm800 91v,1098.74,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-dunlop-sport-fm800-91v/p/hkf1d66833/au/aupa/,2025-08-23 03:34:12,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 205/55 R17 91V Turanza T005,911.99,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-205-55-r17-91v-turanza-t005/p/dej1c1gc1d/au/aupa/,2025-08-23 03:34:23,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 205/55 R17 95V XL TL PRIMACY 4+,913.82,https://www.magazineluiza.com.br/pneu-aro-17-michelin-205-55-r17-95v-xl-tl-primacy-4/p/cd8k5a3d3j/au/aupa/,2025-08-23 03:34:33,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 r 17 f205 95w minerva,738.35,https://www.magazineluiza.com.br/pneu-205-55-r-17-f205-95w-minerva/p/jf91jbfj8a/au/aupa/,2025-08-23 03:34:44,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Linglong 205/55 R17 95V Confort Master Extra Load,526.24,https://www.magazineluiza.com.br/pneu-linglong-205-55-r17-95v-confort-master-extra-load/p/hjhj363kcc/au/pine/,2025-08-23 03:34:54,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 205/55 R17 91V Scorpion Ks,896.67,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-205-55-r17-91v-scorpion-ks/p/kc4k40a10e/au/aupa/,2025-08-23 03:35:06,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Desempenho para Jetta e Cruze,421.38,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-desempenho-para-jetta-e-cruze/p/fj9ca6e134/au/pine/,2025-08-23 03:35:18,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/55 r17 doublestar dsu02 95w,642.69,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-doublestar-dsu02-95w-durable/p/jdck46cc13/au/pine/,2025-08-23 03:35:29,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Durabilidade para Cruze e Jetta,423.19,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-durabilidade-para-cruze-e-jetta/p/heb6e991a3/au/pine/,2025-08-23 03:35:39,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Para Cruze e Jetta Volkswagen,421.38,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-para-cruze-e-jetta-volkswagen/p/bebkaddeg7/au/pine/,2025-08-23 03:35:51,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 17 205/55 R17 DS2 95W XL,878.32,https://www.magazineluiza.com.br/pneu-delinte-aro-17-205-55-r17-ds2-95w-xl/p/bf70d86955/au/aupa/,2025-08-23 03:36:02,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/55 r17 sunwide rs-one 95w,597.27,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-sunwide-rs-one-95w/p/kc5b5h96gj/au/aupa/,2025-08-23 03:36:12,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Qualidade e Performance para Cruze,424.09,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-qualidade-e-performance-para-cruze/p/aj197c8hb3/au/aupa/,2025-08-23 03:36:23,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 205/55 R17 91V S-I Scorpion,1161.09,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-205-55-r17-91v-s-i-scorpion/p/kc73egg18c/au/aupa/,2025-08-23 03:36:33,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion Seal Inside 205/55 R17 HT Aro 17 91V,820.5,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-seal-inside-205-55-r17-ht-aro-17-91v/p/hh0kgk3a2f/au/aupa/,2025-08-23 03:36:45,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 205 55 R17 Scorpion TL 91V Pirelli,1070.14,https://www.magazineluiza.com.br/pneu-carro-205-55-r17-scorpion-tl-91v-pirelli/p/ej665d969d/au/aupa/,2025-08-23 03:36:56,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Scorpion 205/55 R17 Aro 17 91V KA,849.46,https://www.magazineluiza.com.br/pneu-pirelli-scorpion-205-55-r17-aro-17-91v-ka/p/ekde0943c7/au/pine/,2025-08-23 03:37:06,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R17 Aro 17 Golf Cruze Civic,420.33,https://www.magazineluiza.com.br/pneu-205-55-r17-aro-17-golf-cruze-civic-long-way/p/cc1cj0db3h/au/aupa/,2025-08-23 03:37:42,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 205/55R17 RA305 95W,657.01,https://www.magazineluiza.com.br/pneu-aptany-aro-17-205-55r17-ra305-95w/p/ckfkch4e93/au/pine/,2025-08-23 03:37:54,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aptany Aro 17 205/55R17 RA305 95W XL,679.44,https://www.magazineluiza.com.br/pneu-aptany-aro-17-205-55r17-ra305-95w-xl/p/gajce970jg/au/aupa/,2025-08-23 03:38:06,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R17 Civic Corolla Jetta Golf - Alto Desempenho,433.01,https://www.magazineluiza.com.br/pneu-205-55-r17-civic-corolla-jetta-golf-alto-desempenho-virtual-emporium/p/jc29242ch2/au/pine/,2025-08-23 03:38:16,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R17 p/ Civic Corolla Jetta Golf Garantia 12M,433.01,https://www.magazineluiza.com.br/pneu-205-55-r17-p-civic-corolla-jetta-golf-garantia-12m-virtual-emporium/p/ga4h6j1af0/au/pine/,2025-08-23 03:38:27,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Aro 17 Para Cruze e Jetta Volkswagen,423.19,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-aro-17-para-cruze-e-jetta-volkswagen/p/fa786c6had/au/pine/,2025-08-23 03:38:39,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R17 Eco Golf Cruze Fluence Civic Jetta,421.75,https://www.magazineluiza.com.br/pneu-205-55-r17-eco-golf-cruze-fluence-civic-jetta-long-way/p/kj8h572fh8/au/pine/,2025-08-23 03:38:51,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 205/55 R17 91V Fr Contipowercontact,757.43,https://www.magazineluiza.com.br/pneu-continental-205-55-r17-91v-fr-contipowercontact/p/bh600fdad8/au/aupa/,2025-08-23 03:39:02,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 R17 Longway Desempenho para Cruze e Jetta,420.48,https://www.magazineluiza.com.br/pneu-205-55-r17-longway-desempenho-para-cruze-e-jetta/p/fe9d8j6b6e/au/pine/,2025-08-23 03:39:13,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Goodyear 205/55 R17 91V Wrangler Territory HT SL,830.78,https://www.magazineluiza.com.br/pneu-aro-17-goodyear-205-55-r17-91v-wrangler-territory-ht-sl/p/cg435931f9/au/aupa/,2025-08-23 03:39:25,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/55 r17 goodyear wrangler territory ht 91v,1244.89,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-goodyear-wrangler-territory-ht-91v/p/ejag4h9h2k/au/aupa/,2025-08-23 03:39:38,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Aro 17 Para Cruze e Jetta,422.28,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-aro-17-para-cruze-e-jetta/p/kk9f283504/au/pine/,2025-08-23 03:39:49,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/55 r17 dunlop sport fm800 91v,1098.74,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-dunlop-sport-fm800-91v/p/hkf1d66833/au/aupa/,2025-08-23 03:40:00,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Bridgestone 205/55 R17 91V Turanza T005,911.99,https://www.magazineluiza.com.br/pneu-aro-17-bridgestone-205-55-r17-91v-turanza-t005/p/dej1c1gc1d/au/aupa/,2025-08-23 03:40:13,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Michelin 205/55 R17 95V XL TL PRIMACY 4+,913.82,https://www.magazineluiza.com.br/pneu-aro-17-michelin-205-55-r17-95v-xl-tl-primacy-4/p/cd8k5a3d3j/au/aupa/,2025-08-23 03:40:24,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Linglong 205/55 R17 95V Confort Master Extra Load,526.24,https://www.magazineluiza.com.br/pneu-linglong-205-55-r17-95v-confort-master-extra-load/p/hjhj363kcc/au/pine/,2025-08-23 03:40:35,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 205/55 r 17 f205 95w minerva,738.35,https://www.magazineluiza.com.br/pneu-205-55-r-17-f205-95w-minerva/p/jf91jbfj8a/au/aupa/,2025-08-23 03:40:46,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 17 Pirelli 205/55 R17 91V Scorpion Ks,896.67,https://www.magazineluiza.com.br/pneu-aro-17-pirelli-205-55-r17-91v-scorpion-ks/p/kc4k40a10e/au/aupa/,2025-08-23 03:41:00,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Desempenho para Jetta e Cruze,421.38,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-desempenho-para-jetta-e-cruze/p/fj9ca6e134/au/pine/,2025-08-23 03:41:12,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 17 205/55 r17 doublestar dsu02 95w,642.69,https://www.magazineluiza.com.br/pneu-aro-17-205-55-r17-doublestar-dsu02-95w-durable/p/jdck46cc13/au/pine/,2025-08-23 03:41:23,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Longway 205/55 R17 Durabilidade para Cruze e Jetta,423.19,https://www.magazineluiza.com.br/pneu-longway-205-55-r17-durabilidade-para-cruze-e-jetta/p/heb6e991a3/au/pine/,2025-08-23 03:41:34,205/55R17,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
