titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 18 Bridgestone 225/45 R18 91W Turanza T005,872.55,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-91w-turanza-t005/p/dfca1g6149/au/pine/,2025-08-29 07:28:00,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Davanti Aro 18 225/45R18 DX640 95W,708.08,https://www.magazineluiza.com.br/pneu-davanti-aro-18-225-45r18-dx640-95w/p/fc6726dcf6/au/aupa/,2025-08-29 07:28:11,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 aptany runflat ra302 91w,903.29,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-aptany-runflat-ra302-91w/p/kfj8k6c5fj/au/pine/,2025-08-29 07:28:21,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R18 Ventus S1 Evo3 K127B 95Y RunFlat *Original BMW 320i,1820.9,https://www.magazineluiza.com.br/pneu-225-45-r18-ventus-s1-evo3-k127b-95y-runflat-original-bmw-320i-hankook/p/hgg42e654k/au/aupa/,2025-08-29 07:28:32,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45 R18 DH6 Run Flat 91Y,1511.4,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45-r18-dh6-run-flat-91y/p/ah879b8f0k/au/aupa/,2025-08-29 07:28:43,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Michelin 225/45 R18 95Y XL Primacy3 MOE Run Flat,2266.92,https://www.magazineluiza.com.br/pneu-aro-18-michelin-225-45-r18-95y-xl-primacy3-moe-run-flat/p/jekdk454bf/au/aupa/,2025-08-29 07:28:53,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sentury Aro 18 225/45 R18 Qirin 990 95W XL,925.14,https://www.magazineluiza.com.br/pneu-sentury-aro-18-225-45-r18-qirin-990-95w-xl/p/gh66j29e9f/au/pine/,2025-08-29 07:29:04,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 45 R18 Ventus V12 EVO2 K120 XL TL 95Y Hankook,1443.61,https://www.magazineluiza.com.br/pneu-carro-225-45-r18-ventus-v12-evo2-k120-xl-tl-95y-hankook/p/djde1h6d8h/au/pine/,2025-08-29 07:29:16,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45R18 DS7 Sport 95Y,773.44,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45r18-ds7-sport-95y/p/gbh569dkcb/au/aupa/,2025-08-29 07:29:27,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45R18 Continental ExtremeContact Sport 02 91Y,1239.0,https://www.magazineluiza.com.br/pneu-225-45r18-continental-extremecontact-sport-02-91y/p/bab14j150b/au/aupa/,2025-08-29 07:29:38,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 18 Pilot Sport 5 225/45R18 (95Y) XL,1283.23,https://www.magazineluiza.com.br/pneu-michelin-aro-18-pilot-sport-5-225-45r18-95y-xl/p/hb19a8b9k8/au/aupa/,2025-08-29 07:29:49,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 18 ExtremeContact Sport 02 225/45R18 91Y,1139.49,https://www.magazineluiza.com.br/pneu-continental-aro-18-extremecontact-sport-02-225-45r18-91y/p/fb020ef396/au/aupa/,2025-08-29 07:30:01,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 225/45 R18 91W Ventus S1 Evo 2 K117B Run Flat Original (M Benz Classe A200/250),1745.13,https://www.magazineluiza.com.br/pneu-hankook-225-45-r18-91w-ventus-s1-evo-2-k117b-run-flat-original-m-benz-classe-a200-250/p/gcj7b4h2e5/au/aupa/,2025-08-29 07:30:11,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45R18 DS7 Sport 95Y,780.95,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45r18-ds7-sport-95y/p/eebdk6k4ag/au/aupa/,2025-08-29 07:30:23,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45R18 DS7 Sport 95Y,814.64,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45r18-ds7-sport-95y/p/bk2799c4h2/au/aupa/,2025-08-29 07:30:34,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225 45R18 Run flat Yokohama ADVAN SPORT V105 91Y,1750.07,https://www.magazineluiza.com.br/pneu-225-45r18-run-flat-yokohama-advan-sport-v105-91y/p/bf890d97dc/au/pine/,2025-08-29 07:30:44,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Dunlop Aro 18 225/45R18 95Y Sport Maxx 060+,1119.4,https://www.magazineluiza.com.br/pneu-dunlop-aro-18-225-45r18-95y-sport-maxx-060/p/fa575jdcfg/au/aupa/,2025-08-29 07:30:57,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R18 ZR 95W XL SPORT PLUS F1 - XBRI,698.25,https://www.magazineluiza.com.br/pneu-225-45-r18-zr-95w-xl-sport-plus-f1-xbri/p/ac45fjf433/au/aupa/,2025-08-29 07:31:28,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45 R18 DS7 Sport 95Y XL,925.14,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45-r18-ds7-sport-95y-xl/p/bf724d7c57/au/pine/,2025-08-29 07:31:41,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R18 Hankook Ventus S1 Evo 3 K127 91Y,1245.9,https://www.magazineluiza.com.br/pneu-225-45-r18-hankook-ventus-s1-evo-3-k127-91y/p/djfhgkc97e/au/aupa/,2025-08-29 07:31:52,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Bridgestone 225/45 R18 Turanza T005 95y,869.88,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-turanza-t005-95y/p/ba788aaa39/au/aupa/,2025-08-29 07:32:03,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Xbri 225/45 R18 95W TL Sport Plus C1 Extra Load,566.61,https://www.magazineluiza.com.br/pneu-aro-18-xbri-225-45-r18-95w-tl-sport-plus-c1-extra-load/p/jd6695c0j9/au/pine/,2025-08-29 07:32:13,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 delmax ultimapro up1 95w,672.63,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-delmax-ultimapro-up1-95w-durable/p/jk777da9e5/au/aupa/,2025-08-29 07:32:25,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 sunwide rs one xl 95w,642.79,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-sunwide-rs-one-xl-95w/p/gg2f869j1j/au/aupa/,2025-08-29 07:32:36,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Laufenn 225/45 R18 95W S Fit As Lh01,753.83,https://www.magazineluiza.com.br/pneu-laufenn-225-45-r18-95w-s-fit-as-lh01/p/gf9589hece/au/aupa/,2025-08-29 07:32:46,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
225/45 r18 95y xl tl pilot sport 4 zp * mi,2504.9,https://www.magazineluiza.com.br/225-45-r18-95y-xl-tl-pilot-sport-4-zp-mi-michelin/p/akkg3f4dj4/au/pine/,2025-08-29 07:32:57,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Davanti Aro 18 225/45R18 DX640 95W,708.08,https://www.magazineluiza.com.br/pneu-davanti-aro-18-225-45r18-dx640-95w/p/fc6726dcf6/au/aupa/,2025-08-29 07:33:07,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Continental 225/45 R18 95Y XL FR SportContact 5,1089.9,https://www.magazineluiza.com.br/pneu-aro-18-continental-225-45-r18-95y-xl-fr-sportcontact-5/p/gcd70322bd/au/pine/,2025-08-29 07:33:20,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Bridgestone 225/45 R18 91W Turanza T005,872.55,https://www.magazineluiza.com.br/pneu-aro-18-bridgestone-225-45-r18-91w-turanza-t005/p/dfca1g6149/au/pine/,2025-08-29 07:33:30,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 18 225/45 r18 aptany runflat ra302 91w,903.29,https://www.magazineluiza.com.br/pneu-aro-18-225-45-r18-aptany-runflat-ra302-91w/p/kfj8k6c5fj/au/pine/,2025-08-29 07:33:41,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45 R18 Ventus S1 Evo3 K127B 95Y RunFlat *Original BMW 320i,1820.9,https://www.magazineluiza.com.br/pneu-225-45-r18-ventus-s1-evo3-k127b-95y-runflat-original-bmw-320i-hankook/p/hgg42e654k/au/aupa/,2025-08-29 07:33:54,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45 R18 DH6 Run Flat 91Y,1511.4,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45-r18-dh6-run-flat-91y/p/ah879b8f0k/au/aupa/,2025-08-29 07:34:04,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 18 Michelin 225/45 R18 95Y XL Primacy3 MOE Run Flat,2266.92,https://www.magazineluiza.com.br/pneu-aro-18-michelin-225-45-r18-95y-xl-primacy3-moe-run-flat/p/jekdk454bf/au/aupa/,2025-08-29 07:34:15,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sentury Aro 18 225/45 R18 Qirin 990 95W XL,925.14,https://www.magazineluiza.com.br/pneu-sentury-aro-18-225-45-r18-qirin-990-95w-xl/p/gh66j29e9f/au/pine/,2025-08-29 07:34:26,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Carro 225 45 R18 Ventus V12 EVO2 K120 XL TL 95Y Hankook,1443.61,https://www.magazineluiza.com.br/pneu-carro-225-45-r18-ventus-v12-evo2-k120-xl-tl-95y-hankook/p/djde1h6d8h/au/pine/,2025-08-29 07:34:38,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Delinte Aro 18 225/45R18 DS7 Sport 95Y,773.44,https://www.magazineluiza.com.br/pneu-delinte-aro-18-225-45r18-ds7-sport-95y/p/gbh569dkcb/au/aupa/,2025-08-29 07:34:49,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 225/45R18 Continental ExtremeContact Sport 02 91Y,1239.0,https://www.magazineluiza.com.br/pneu-225-45r18-continental-extremecontact-sport-02-91y/p/bab14j150b/au/aupa/,2025-08-29 07:35:01,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Michelin Aro 18 Pilot Sport 5 225/45R18 (95Y) XL,1283.23,https://www.magazineluiza.com.br/pneu-michelin-aro-18-pilot-sport-5-225-45r18-95y-xl/p/hb19a8b9k8/au/aupa/,2025-08-29 07:35:12,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 18 ExtremeContact Sport 02 225/45R18 91Y,1139.49,https://www.magazineluiza.com.br/pneu-continental-aro-18-extremecontact-sport-02-225-45r18-91y/p/fb020ef396/au/aupa/,2025-08-29 07:35:23,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Hankook 225/45 R18 91W Ventus S1 Evo 2 K117B Run Flat Original (M Benz Classe A200/250),1745.13,https://www.magazineluiza.com.br/pneu-hankook-225-45-r18-91w-ventus-s1-evo-2-k117b-run-flat-original-m-benz-classe-a200-250/p/gcj7b4h2e5/au/aupa/,2025-08-29 07:35:34,225/45R18,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
